Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to percentiles,Time period Sortable,New data,Compared to goal,Time period range
93982,C15 - Percentage of adults meeting the '5-a-day' fruit and vegetable consumption recommendations (new method),,,E92000001,England,England,Male,16+ yrs,,,2020/21,31.18497,30.84542,31.52799,30.67127,31.71884,,71787,,,Not compared,Not compared,20200000,,,1y
93982,C15 - Percentage of adults meeting the '5-a-day' fruit and vegetable consumption recommendations (new method),,,E92000001,England,England,Female,16+ yrs,,,2020/21,38.35383,38.0328,38.67551,37.82738,38.86777,,91024,,,Not compared,Not compared,20200000,,,1y
93982,C15 - Percentage of adults meeting the '5-a-day' fruit and vegetable consumption recommendations (new method),,,E92000001,England,England,Persons,85+ yrs,,,2020/21,35.79859,34.17117,37.48011,33.18486,38.5301,,3143,,,Not compared,Not compared,20200000,,,1y
93982,C15 - Percentage of adults meeting the '5-a-day' fruit and vegetable consumption recommendations (new method),,,E92000001,England,England,Persons,25-34 yrs,,,2020/21,26.93797,26.33794,27.55273,25.95055,27.94013,,20909,,,Not compared,Not compared,20200000,,,1y
93982,C15 - Percentage of adults meeting the '5-a-day' fruit and vegetable consumption recommendations (new method),,,E92000001,England,England,Persons,35-44 yrs,,,2020/21,29.4436,28.87021,30.00845,28.55647,30.3463,,24863,,,Not compared,Not compared,20200000,,,1y
93982,C15 - Percentage of adults meeting the '5-a-day' fruit and vegetable consumption recommendations (new method),,,E92000001,England,England,Persons,45-54 yrs,,,2020/21,33.78938,33.22423,34.35615,32.91567,34.67573,,27215,,,Not compared,Not compared,20200000,,,1y
93982,C15 - Percentage of adults meeting the '5-a-day' fruit and vegetable consumption recommendations (new method),,,E92000001,England,England,Persons,55-64 yrs,,,2020/21,37.86971,37.33727,38.40953,37.01338,38.70197,,31802,,,Not compared,Not compared,20200000,,,1y
93982,C15 - Percentage of adults meeting the '5-a-day' fruit and vegetable consumption recommendations (new method),,,E92000001,England,England,Persons,65-74 yrs,,,2020/21,46.69234,46.1434,47.24591,45.79427,47.55285,,30934,,,Not compared,Not compared,20200000,,,1y
93982,C15 - Percentage of adults meeting the '5-a-day' fruit and vegetable consumption recommendations (new method),,,E92000001,England,England,Persons,16+ yrs,,,2020/21,34.87023,34.64114,35.10633,34.5377,35.24465,,163378,,,Not compared,Not compared,20200000,,,1y
93982,C15 - Percentage of adults meeting the '5-a-day' fruit and vegetable consumption recommendations (new method),,,E92000001,England,England,Persons,16+ yrs,Working status,Inactive,2020/21,43.68086,43.2711,44.09156,43.05924,44.31957,,55700,,,Better,Not compared,20200000,,,1y
93982,C15 - Percentage of adults meeting the '5-a-day' fruit and vegetable consumption recommendations (new method),,,E92000001,England,England,Persons,16+ yrs,Working status,Unemployed,2020/21,22.3115,21.12086,23.47427,20.48261,24.19228,,5014,,,Worse,Not compared,20200000,,,1y
